"X","x","lon","lat"
602,"London",-0.1277583,51.5073509
603,"in capsid",77.1765277,28.5547102
604,"N.C. CHEROKEE NATION",-83.3162087,35.4842782
605,"Asia",100.6196553,34.047863
606,"London, England",-0.1277583,51.5073509
607,"Hong Kong",NA,NA
608,"+62",NA,NA
609,"Kampenhout",4.54981,50.94209
610,"Wiltshire",-1.9927105,51.3491996
611,"Montevideo, URUGUAY",-56.1645314,-34.9011127
612,"Central USA",-108.153234,32.778651
613,"Taiwan(Sanchong,Taipei)",NA,NA
614,"Leiden, the Netherlands",4.4970097,52.1601144
615,"University of Kent",1.0709944,51.2984669
616,"United Kingdom",NA,NA
617,"Brussels",4.3517211,50.8503463
618,"France",2.213749,46.227638
619,"Bat Country ",-119.2109947,40.7970945
620,"Bengaluru, India",77.5945627,12.9715987
621,"Fordham, Cambridgeshire",0.38498,52.31187
622,"-31.822573,115.77187",115.7718728,-31.8226165
623,"Harare, Zimbabwe",31.03351,-17.8251657
624,"Harare, Zimbabwe",31.03351,-17.8251657
625,"Southern Africa",19.5687103,-24.3570767
626,"Ft. Lauderdale, FL",-80.1373174,26.1224386
627,"London, England",-0.1277583,51.5073509
628,"Madrid, Comunidad de Madrid",-3.7037902,40.4167754
629,"NAIROBI",36.8219462,-1.2920659
630,"United Kingdom",-3.435973,55.378051
631,"Luxembourg",6.129583,49.815273
632,"#Beautiful but unfortunately #corrupt #INDIA, wanna live on #VeganEarth, #HoverHomes and #SpacePlanes in future",NA,NA
633,"London, England",-0.1277583,51.5073509
634,"Australia ",133.775136,-25.274398
635,"Scotland",-4.2026458,56.4906712
636,"Frankfurt/Main, Germany",8.6821267,50.1109221
637,"Utrecht, Nederland",5.1214201,52.0907374
638,"Brisbane, Australia",NA,NA
639,"Frankfurt am Main und Berlin",NA,NA
640,"Hungary",19.5033041,47.162494
641,"Cambridge MA-USA and London UK",-71.0833898,42.3627038
642,"The land of gloom and sorrow.",NA,NA
643,"www.bva.co.uk",NA,NA
644,"Northern Ireland",-6.4923145,54.7877149
645,"Ü.T: 51.53096,-0.118332",-86.1075997,42.0264423
646,"News ITN, London, England",-0.114136,51.5234388
647,"Hong Kong SAR",114.109497,22.396428
648,"Dublin City, Ireland",-6.2603097,53.3498053
649,"www.zyite.com",NA,NA
650,"Limerick, Ireland",NA,NA
651,"Williamsburg, VA",-76.7074571,37.2707022
652,"Hong Kong",114.109497,22.396428
653,"France",NA,NA
654,"Uppsala, Sverige",17.6389267,59.8585638
655,"New Delhi, India",77.2090212,28.6139391
656,"Lausanne",6.6322734,46.5196535
657,"Winterthur, Switzerland",8.7236889,47.4988196
658,"Portland, OR",-122.6764815,45.5230622
659,"Texas",NA,NA
660,"timbuktu",-3.0025615,16.7665887
661,"The Wonka Factory",-79.560562,45.03676
662,"Houston, Texas",-95.3698028,29.7604267
663,"Brussels",NA,NA
664,"(under construction)",-83.9439397,33.6178706
665,"piemonte",7.5153885,45.0522366
666,"Hrubieszów, Polska",23.8909099,50.80518
667,"Edinburgh",NA,NA
668,"Evanescent",-81.5312701,28.413638
669,"Nuremberg, Bavaria",11.0766654,49.4521018
670,"Melbourne, Australia",144.9630576,-37.8136276
671,"Chicago, IL",NA,NA
672,"Rome, Italy",12.4963655,41.9027835
673,"Germany",NA,NA
674,"Surrey, BC",-122.801094,49.1044302
675,"iKON - PTG",NA,NA
676,"Vancouver",-123.1207375,49.2827291
677,"Melbourne, Australia",NA,NA
678,"London",-0.1277583,51.5073509
679,"Decatur GA",-84.2963123,33.7748275
680,"Hogwarts/Proud Gryffindor",NA,NA
681,"Illinois, USA",-89.3985283,40.6331249
682,"The Cloud",-97.6982272,39.4795571
683,"Seattle, WA",-122.3320708,47.6062095
684,"Winnipeg, Manitoba, CANADA",-97.1383744,49.895136
685,"Las Cruces, NM. USA",-106.7636538,32.3199396
686,"Washington, D.C.",-77.0368707,38.9071923
687,"Shenzhen",114.057865,22.543096
688,"New York, USA",NA,NA
689,"Researcher",NA,NA
690,"Helsinki, Finland",24.9383791,60.1698557
691,"1610 N Water St Milwaukee, WI",-87.9055738,43.0508937
692,"Long Island, New York",-73.134961,40.789142
693,"Los Scandolous",-121.9808531,37.228331
694,"CONSULTORIO MIRC VALLES SLP",NA,NA
695,"Midtjylland, Danmark",9.302777,56.302139
696,"Wellington, New Zealand",174.776236,-41.2864603
697,"USA",-95.712891,37.09024
698,"Swamp Bank",NA,NA
699,"Palermo, ME ",-69.4672352,44.4059902
